Status,Home,Time,Age,Expenses,Income,Debt,Amount,Price
1,4,60,34,75,85,0,1400,"1,589.00"
1,2,48,42,75,210,120,1200,"1,617.00"
1,2,60,34,75,125,0,1200,"1,200.00"
1,2,60,46,75,149,0,1400,"2,194.00"
1,2,48,31,75,201,96,1100,"1,642.00"
2,6,60,31,60,105,0,1200,"1,423.00"
1,1,12,33,78,183,0,600,"1,600.00"
2,1,24,30,46,113,0,700,700
1,2,24,27,45,126,"3,700.00",200,300
1,2,36,48,120,300,0,1000,1165
1,2,60,33,75,160,0,1000,"1,365.00"
1,2,12,44,90,160,0,500,"1,706.00"
2,6,36,48,45,0,0,1600,"2,053.00"
1,2,60,57,60,95,0,1000,"1,700.00"
1,2,60,34,75,125,4000,950,"1,462.00"
1,1,60,38,87,120,0,1177,"1,300.00"
1,1,36,35,126,359,0,870,"1,122.00"
1,2,60,52,45,80,0,1200,"1,257.00"
1,5,60,28,35,67,0,1050,"1,387.00"
1,2,48,46,90,148,0,1000,"1,266.00"
1,2,60,56,45,298,0,1700,"2,195.00"
1,2,24,52,75,318,700,700,"2,004.00"
1,2,60,35,75,185,0,1100,"1,203.00"
1,2,36,45,60,0,250,750,"1,138.00"
1,5,48,29,45,194,0,1200,"1,374.00"
2,5,60,22,35,80,0,1500,"1,514.00"
1,2,24,33,75,147,900,400,750
1,2,24,41,105,156,0,800,"1,894.00"
1,2,36,37,75,178,0,1000,"1,048.00"
1,2,24,46,75,130,0,400,"1,369.00"
2,6,36,19,35,63,0,1000,"1,035.00"
2,5,36,22,35,88,0,750,"1,218.00"
1,5,60,31,45,140,0,1200,"1,637.00"
2,3,60,44,45,115,0,750,953
1,2,60,48,60,83,0,1100,"1,212.00"
1,3,36,31,60,144,0,1000,"1,218.00"
1,2,24,53,45,200,0,1000,"1,419.00"
1,6,60,36,90,172,0,1100,"1,100.00"
1,3,60,46,105,200,500,900,987
1,2,60,37,60,318,0,1900,"2,400.00"
1,2,60,34,60,177,"4,000.00",1370,"1,375.00"
1,2,48,36,60,133,0,1000,"1,595.00"
1,2,60,64,35,150,0,984,"1,054.00"
1,2,36,27,35,208,0,1000,"1,651.00"
1,2,30,26,75,145,0,300,"1,542.00"
1,2,60,53,60,157,0,2000,"2,014.00"
1,2,60,50,45,190,200,1800,"2,624.00"
2,5,60,21,35,86,0,1000,"1,135.00"
1,5,24,40,35,90,0,600,"1,105.00"
1,1,60,49,100,100,0,1500,"1,500.00"
2,1,24,40,56,214,0,800,"1,200.00"
1,1,60,37,45,100,0,1150,"1,555.00"
1,1,48,25,57,117,0,800,"2,251.00"
1,2,18,40,45,110,0,455,"1,542.00"
1,1,36,22,62,168,0,1200,"2,186.00"
1,2,48,49,45,150,0,1700,"1,700.00"
1,2,60,34,45,166,0,600,"1,180.00"
2,1,24,49,90,0,0,700,800
2,1,60,43,90,0,0,1350,"1,668.00"
1,2,36,42,90,250,0,1500,"1,750.00"
1,2,48,28,60,120,"1,500.00",600,875
1,2,60,30,35,236,"1,000.00",1000,"1,514.00"
2,2,60,25,45,277,"3,500.00",1700,"1,950.00"
2,5,60,22,35,55,0,950,"1,462.00"
1,5,36,27,35,200,0,600,"1,098.00"
1,5,60,26,45,235,0,800,840
2,2,48,28,45,80,0,1260,"1,634.00"
1,2,48,35,45,200,0,1540,"1,603.00"
1,3,60,51,45,140,0,1200,"1,200.00"
1,1,60,24,73,125,0,700,"1,360.00"
1,1,60,34,94,185,0,1200,"1,236.00"
1,2,42,34,105,190,300,1100,"1,395.00"
1,2,60,49,60,150,0,1200,"1,390.00"
1,2,60,28,60,102,0,700,"1,355.00"
1,1,60,57,77,170,0,1300,"1,604.00"
1,2,60,63,60,315,266,1000,"1,241.00"
2,1,12,37,88,130,0,250,375
1,2,36,27,45,156,0,700,"1,045.00"
1,1,60,39,93,177,0,800,"1,781.00"
1,2,36,64,60,341,0,900,900
1,2,48,49,105,240,"4,200.00",1660,"1,698.00"
1,2,12,49,60,142,0,200,"1,048.00"
1,2,36,45,75,333,0,1000,"2,200.00"
1,5,60,27,35,125,0,770,"1,119.00"
1,5,36,30,45,170,0,700,"1,090.00"
2,2,36,33,75,220,500,3000,"4,100.00"
1,2,36,40,60,230,480,700,"1,400.00"
1,2,60,30,60,157,0,1000,"2,010.00"
1,5,12,30,60,340,0,1900,"2,014.00"
1,2,60,25,60,120,200,1000,"1,342.00"
1,1,60,40,44,91,0,1000,"1,132.00"
2,3,42,50,60,150,0,900,"1,048.00"
1,2,36,23,35,88,0,750,"1,218.00"
1,6,48,28,35,120,0,900,"1,114.00"
2,1,60,35,75,0,0,1000,"1,206.00"
1,1,60,27,56,106,0,650,"2,132.00"
1,5,36,19,35,162,100,400,570
1,5,60,39,45,77,0,1000,"1,094.00"
1,3,36,39,75,128,0,550,550
1,2,48,55,35,189,0,1200,"1,255.00"
1,2,36,32,60,300,"3,000.00",2000,"4,138.00"
1,2,60,54,60,92,"1,700.00",1700,"1,714.00"
1,2,48,58,60,380,0,1100,"1,150.00"
1,2,24,37,75,500,0,1500,"2,673.00"
1,5,60,36,60,130,0,1200,"1,630.00"
1,2,60,28,45,141,400,1100,"1,544.00"
1,2,60,38,75,220,"3,600.00",1000,"1,195.00"
1,2,36,26,60,146,"1,300.00",400,"1,206.00"
1,2,60,41,75,250,"3,700.00",1400,"2,050.00"
1,2,36,42,60,132,0,1200,"1,513.00"
1,2,6,46,90,150,0,3000,"3,300.00"
1,1,60,52,73,127,0,1030,"1,250.00"
2,2,60,30,60,90,500,1000,"1,339.00"
2,2,60,47,90,166,"1,000.00",875,875
1,2,18,66,45,69,0,500,"1,101.00"
1,2,60,54,45,182,0,1000,"1,568.00"
1,2,42,65,45,77,"2,000.00",750,"1,194.00"
2,6,60,25,45,50,0,950,"1,378.00"
1,2,60,31,35,131,0,1050,"1,139.00"
1,5,24,23,35,62,0,350,350
2,2,60,35,75,60,400,1150,"1,406.00"
1,2,60,47,90,86,0,1200,"1,497.00"
2,1,36,28,59,143,0,1400,"1,600.00"
2,1,60,50,87,120,0,1300,"1,350.00"
2,6,60,25,35,283,0,2000,"2,032.00"
1,2,36,39,60,138,0,1400,"2,610.00"
1,3,12,46,90,90,600,500,"1,193.00"
2,1,60,36,85,99,0,1200,"1,275.00"
2,2,36,39,75,160,0,3250,"3,750.00"
1,2,60,25,60,330,"3,500.00",1300,"2,500.00"
1,2,36,49,60,100,0,1000,"1,790.00"
2,1,48,52,96,210,0,1400,"1,419.00"
1,1,30,34,45,100,0,700,"1,480.00"
1,2,36,24,45,97,0,600,"1,542.00"
2,1,60,38,45,0,0,1500,"1,850.00"
1,2,48,24,45,227,0,600,"1,380.00"
1,2,42,33,45,140,"2,500.00",1200,"1,888.00"
2,1,48,31,87,115,0,1100,"1,672.00"
1,2,48,63,60,150,0,700,808
2,5,60,23,35,90,0,1100,"1,107.00"
1,2,42,61,90,275,0,1000,"1,335.00"
1,5,60,28,35,176,0,1190,"1,390.00"
1,1,60,58,71,110,0,1150,"1,363.00"
1,2,60,41,75,140,0,1450,"1,482.00"
1,2,60,38,45,500,0,1900,"2,357.00"
2,2,60,27,75,66,0,600,850
1,2,60,55,60,0,0,1000,"1,180.00"
1,2,48,40,75,145,0,825,"1,617.00"
1,2,60,59,60,67,0,1080,"1,114.00"
2,2,60,47,75,0,0,1900,"1,976.00"
2,2,60,38,90,80,"1,749.00",1030,"1,095.00"
1,5,60,25,35,0,0,800,"1,380.00"
1,6,60,28,45,200,0,700,"1,529.00"
1,2,36,49,75,154,0,850,"1,263.00"
1,3,48,38,90,187,750,1550,"1,600.00"
2,2,48,52,60,135,0,1200,"1,400.00"
1,2,48,37,45,160,"3,000.00",1000,"1,520.00"
1,2,60,42,60,133,0,1500,"1,617.00"
1,1,60,54,173,230,0,1100,"1,500.00"
1,2,60,30,60,154,0,1000,"1,705.00"
1,2,30,26,60,50,250,600,"1,292.00"
1,2,48,49,60,189,0,1100,"1,294.00"
1,2,60,36,60,202,"1,260.00",1400,1936
2,5,48,40,90,20,0,1850,"2,143.00"
2,2,12,61,60,40,0,170,"1,394.00"
2,1,24,59,110,50,0,200,425
1,2,48,49,45,125,0,500,"1,600.00"
1,1,60,52,70,100,0,1250,"1,563.00"
1,2,60,35,60,115,75,1250,"1,284.00"
2,4,60,25,75,160,0,890,990
1,2,60,30,60,70,"2,800.00",600,"1,125.00"
1,2,48,28,35,220,0,1000,"1,267.00"
2,6,60,42,45,0,0,1600,"1,780.00"
1,2,6,29,35,107,0,300,"1,298.00"
2,2,60,32,75,160,600,1550,"1,600.00"
1,2,60,45,75,150,0,1100,"1,340.00"
1,2,60,52,45,0,0,750,"1,244.00"
2,2,60,26,45,120,"1,500.00",1000,"1,403.00"
1,2,60,33,75,225,0,1400,"1,980.00"
1,5,60,21,35,100,0,900,"1,290.00"
2,2,36,34,75,80,300,600,"1,339.00"
1,2,60,27,35,208,"3,300.00",1500,"1,559.00"
2,2,60,44,90,105,720,200,1078
1,2,60,51,60,98,0,860,1113
1,1,18,33,113,532,0,1000,"2,290.00"
1,2,60,35,60,140,0,1000,"1,578.00"
1,2,48,38,75,90,"2,000.00",500,"1,039.00"
1,1,60,28,76,155,0,800,"1,218.00"
1,2,60,26,45,120,0,300,"1,329.00"
1,2,36,34,90,159,250,300,500
1,2,60,27,45,122,"1,000.00",1300,1384
2,2,60,32,75,156,0,1300,"1,553.00"
1,2,48,43,35,90,0,1000,"1,626.00"
1,2,18,30,35,130,0,1100,"1,674.00"
1,2,18,42,90,45,34,200,"1,500.00"
1,1,36,26,72,118,0,600,"1,421.00"
2,2,24,20,60,152,0,400,480
1,1,48,24,49,135,0,1000,"1,274.00"
1,1,48,27,58,125,0,1200,"1,580.00"
1,1,36,35,66,208,0,1000,"1,300.00"
2,5,48,18,35,81,0,1150,"1,314.00"
1,2,24,35,75,160,0,200,957
1,1,60,33,75,300,0,1000,"1,500.00"
1,3,36,39,60,135,"1,500.00",1300,"1,504.00"
1,5,60,36,60,121,0,850,935
1,5,48,29,35,145,0,1000,"1,028.00"
2,5,48,23,35,165,0,1300,"1,440.00"
1,2,12,34,75,428,0,500,"1,030.00"
1,1,48,57,68,233,0,1200,"1,366.00"
2,2,60,38,90,245,0,1700,"1,768.00"
2,2,48,42,75,200,"4,500.00",1400,"1,700.00"
1,2,60,44,60,42,0,910,1450
1,2,48,37,35,87,450,500,"1,155.00"
2,3,48,34,45,200,"1,500.00",1000,"1,191.00"
1,2,12,43,75,250,0,600,841
2,1,60,42,70,350,0,2200,"2,441.00"
2,6,48,24,60,105,0,1200,"1,516.00"
1,2,60,36,60,100,1500,400,"1,591.00"
2,5,60,52,75,160,0,1350,"1,999.00"
1,5,60,34,35,0,0,1200,"1,336.00"
2,1,36,34,49,140,0,1150,"1,600.00"
1,5,60,31,45,160,0,1400,"1,850.00"
1,2,60,36,75,148,0,1400,"1,775.00"
1,5,36,50,45,113,0,700,"1,224.00"
1,5,60,33,45,97,0,1500,"1,663.00"
1,2,60,54,60,107,0,1250,"1,500.00"
2,1,60,40,66,206,0,1900,"2,225.00"
1,2,60,29,45,275,"1,810.00",1600,"1,930.00"
1,2,60,31,45,176,"2,500.00",1400,"1,607.00"
1,1,36,32,63,175,0,1000,"1,230.00"
1,2,24,51,45,223,0,1400,"1,581.00"
1,1,60,31,67,70,0,790,"1,072.00"
2,1,36,46,84,87,0,1200,"1,471.00"
2,2,60,35,90,42,100,500,"1,300.00"
1,5,60,33,35,60,0,1150,"1,192.00"
1,6,48,25,35,300,0,2400,"2,700.00"
1,6,36,31,75,144,0,450,500
2,1,36,43,75,0,"2,000.00",1100,"1,720.00"
1,5,48,30,60,180,0,1350,"1,770.00"
2,1,48,40,82,69,0,1100,"1,197.00"
1,1,60,37,86,110,0,700,950
2,5,36,22,35,50,0,425,450
2,5,60,24,35,86,0,1400,"1,707.00"
1,2,36,27,60,172,0,900,"1,201.00"
2,1,60,32,71,109,0,1135,"1,355.00"
1,2,60,43,60,95,0,890,"1,196.00"
1,1,60,57,80,203,0,1100,"1,297.00"
2,2,48,59,45,114,0,1200,"1,420.00"
1,1,48,60,54,186,0,850,"1,036.00"
1,1,60,25,51,155,0,800,"1,201.00"
1,5,60,28,60,195,0,1000,"1,527.00"
2,2,60,40,75,246,0,1300,"1,500.00"
1,1,48,36,86,113,0,950,"1,057.00"
1,2,48,27,60,290,900,1500,"2,127.00"
2,6,48,33,75,0,0,1000,"2,218.00"
1,2,60,44,45,125,0,1200,"1,570.00"
1,1,24,34,95,199,0,250,650
1,2,60,28,45,133,"9,000.00",700,"1,175.00"
1,2,60,39,60,210,0,700,825
2,6,48,47,35,0,0,2150,"2,152.00"
1,2,60,28,45,78,0,850,978
1,1,36,37,55,200,0,1100,"1,650.00"
1,5,60,20,45,100,0,1850,"2,150.00"
2,1,48,36,85,95,0,1340,"1,771.00"
1,1,48,28,63,183,0,1100,"1,615.00"
1,5,24,20,35,43,0,450,994
1,3,60,32,75,120,"3,000.00",870,"1,147.00"
2,5,60,19,45,198,0,1100,"1,194.00"
2,1,36,21,45,100,0,700,825
1,1,36,23,50,150,0,1000,"1,128.00"
1,2,36,47,60,133,0,360,360
1,2,48,37,45,110,0,500,"1,190.00"
1,2,60,51,60,202,0,1400,"1,580.00"
1,3,24,31,60,140,500,1100,"1,600.00"
1,2,60,49,45,123,0,1450,"1,735.00"
1,2,60,27,45,275,4500,1500,"2,178.00"
2,3,60,34,75,200,0,1350,"1,589.00"
1,2,60,28,35,0,800,1500,"1,828.00"
2,2,48,29,35,55,0,757,"1,566.00"
1,2,60,51,45,105,0,1200,"1,250.00"
1,2,60,34,75,146,0,1400,"1,626.00"
1,2,60,42,75,100,"1,500.00",1350,"1,414.00"
2,1,60,46,49,136,0,1500,"1,687.00"
1,2,60,40,60,90,0,1100,"1,638.00"
1,2,60,32,60,0,0,1100,"1,296.00"
1,2,60,26,60,116,0,1400,"1,460.00"
1,2,36,31,75,128,"4,800.00",700,"1,400.00"
1,2,54,47,60,105,0,850,911
1,2,30,45,90,125,0,1050,"1,559.00"
1,6,60,26,45,68,0,1200,"1,315.00"
1,2,36,41,75,400,0,1800,"2,600.00"
1,2,48,31,60,251,400,1000,"1,208.00"
1,1,60,23,58,225,0,800,975
1,5,60,34,35,140,0,1200,"1,274.00"
1,2,48,34,45,0,0,900,"1,197.00"
1,1,60,38,107,320,0,1050,1092
1,2,36,55,45,0,0,900,"1,100.00"
1,1,60,54,54,87,0,1000,"1,202.00"
2,5,54,24,35,0,0,1800,"2,646.00"
2,2,60,37,90,90,"1,800.00",1500,"1,816.00"
2,1,60,43,75,0,0,1400,"1,700.00"
1,5,48,26,60,110,0,1300,"1,700.00"
1,2,54,59,60,87,0,500,984
1,1,60,54,54,93,0,1000,"1,387.00"
1,2,48,27,45,110,"1,300.00",450,"1,636.00"
1,1,60,28,43,81,0,1000,"1,135.00"
2,2,60,53,45,98,0,1350,"1,453.00"
1,2,60,48,60,155,0,1400,"1,500.00"
1,2,48,30,60,167,"1,000.00",800,"1,350.00"
1,3,60,28,60,190,0,1850,"2,247.00"
1,2,60,34,75,110,300,1150,"1,367.00"
2,2,60,33,35,0,0,950,950
2,1,60,55,62,170,0,1800,"2,154.00"
2,2,36,40,35,0,400,750,"1,100.00"
1,5,60,28,35,70,0,900,"1,492.00"
2,2,60,31,35,55,0,800,"1,351.00"
2,5,60,56,45,80,0,1500,"2,040.00"
1,2,60,38,75,81,0,1000,"1,037.00"
2,6,48,25,35,139,0,1200,"1,202.00"
1,1,48,35,66,206,0,1500,"1,683.00"
2,6,24,41,35,0,0,500,"1,000.00"
1,5,48,31,35,120,0,1000,1100
1,6,48,52,90,300,0,1700,"1,734.00"
1,3,60,33,75,224,0,1600,"1,604.00"
1,1,60,30,68,80,0,1000,"1,330.00"
2,2,60,37,90,166,0,800,877
1,2,36,54,60,110,0,1100,"1,759.00"
2,5,48,32,45,161,0,970,"1,564.00"
1,2,60,23,45,80,0,1100,"1,306.00"
1,2,24,39,75,150,0,500,"1,108.00"
2,1,36,28,52,170,0,350,"1,500.00"
1,5,60,43,45,100,0,1500,"1,645.00"
1,1,60,50,68,225,0,1300,"1,500.00"
1,1,60,41,77,166,0,2200,"2,625.00"
1,5,36,27,45,200,0,800,"1,456.00"
1,2,42,25,45,110,0,1500,"2,178.00"
1,1,36,35,46,110,0,1000,"1,642.00"
1,2,60,31,45,160,300,1200,"1,265.00"
1,5,36,43,35,204,0,200,325
2,5,60,28,45,135,0,1350,"1,471.00"
1,5,48,22,45,158,0,260,"1,440.00"
1,2,60,42,75,290,0,1200,"2,140.00"
1,2,60,41,60,100,0,450,"1,377.00"
1,2,60,29,60,115,2000,1250,"1,780.00"
1,2,18,27,45,149,0,700,818
1,2,60,32,75,143,0,650,"1,017.00"
1,5,36,27,60,150,0,1000,"1,788.00"
1,5,48,37,35,199,0,1100,"1,212.00"
1,1,36,59,59,142,0,1000,"1,800.00"
2,2,54,52,75,80,0,1300,"1,394.00"
2,1,36,25,69,93,0,250,400
1,5,36,24,45,113,0,850,940
1,5,48,51,45,92,500,1220,"1,433.00"
1,2,36,39,75,205,0,1300,"1,439.00"
1,2,60,33,35,210,0,1700,"2,414.00"
1,2,24,31,60,256,0,600,"1,571.00"
1,1,36,30,101,260,0,1000,"1,500.00"
1,2,60,24,45,106,0,1200,"1,258.00"
1,2,48,31,60,160,0,450,"1,403.00"
1,2,60,39,60,148,0,750,"1,346.00"
1,2,36,42,75,220,0,1500,"2,195.00"
1,2,36,37,75,63,50,800,"1,637.00"
1,2,36,38,75,106,0,2375,"2,375.00"
2,2,60,42,75,81,0,870,873
2,5,60,23,35,100,0,1210,"1,450.00"
2,6,60,40,75,260,0,1500,"1,607.00"
1,2,24,36,60,243,0,600,"1,376.00"
1,1,60,27,44,88,0,1000,"1,092.00"
1,2,24,60,75,186,0,900,"1,307.00"
1,2,48,45,75,105,2400,830,"1,128.00"
1,2,48,65,75,80,"2,000.00",700,"1,698.00"
1,3,60,40,60,154,0,825,"1,075.00"
2,1,60,40,64,35,0,1920,"1,920.00"
1,1,48,33,66,63,0,800,"1,298.00"
2,6,36,28,45,297,0,1360,"1,362.00"
2,1,60,33,91,161,0,1700,"1,770.00"
1,2,36,51,35,200,0,1700,"2,022.00"
1,3,48,31,45,140,0,700,"1,225.00"
1,2,12,36,90,125,0,375,724
1,5,24,23,35,78,0,500,"1,346.00"
2,6,60,33,35,57,0,1000,"1,415.00"
1,1,60,51,135,300,0,1000,"1,380.00"
2,6,60,31,60,0,0,1400,"1,500.00"
1,2,36,32,75,202,0,900,900
1,2,48,50,90,175,"1,950.00",1100,"1,639.00"
1,2,36,52,45,150,0,1420,"2,220.00"
1,5,60,34,45,158,0,1020,"1,600.00"
2,6,36,25,45,0,0,900,"1,270.00"
1,2,48,28,45,123,"1,978.00",1100,"1,556.00"
2,1,48,36,88,125,0,1500,"1,878.00"
2,2,60,27,45,113,"1,500.00",1200,"1,532.00"
1,2,24,26,45,167,0,340,900
2,1,36,24,75,148,0,900,"1,100.00"
2,3,60,47,75,156,200,600,1556
